Date,Campaign,Platform,Placement,Age_Group,Region,Device,Spend_USD,Impressions,Reach,Clicks,Engagements,Conversions,Revenue_USD,CTR_%,Engagement_Rate_%,CPA_USD,ROAS,ROI_%
27-06-2025,Campaign 13,Instagram,Explore,35-44,West,Mobile,915.24,87759,28332,5763,2277,277,13761.74,6.57,8.04,3.3,15.04,1403.62
28-06-2025,Campaign 19,Facebook,Reels,35-44,East,Desktop,1600.42,99686,52434,1606,8242,884,62855.23,1.61,15.72,1.81,39.27,3827.42
29-06-2025,Campaign 18,Facebook,Stories,18-24,West,Desktop,75.87,46138,62271,3008,248,56,3367.88,6.52,0.4,1.35,44.39,4339.01
30-06-2025,Campaign 19,Instagram,Reels,25-34,East,Desktop,1118.23,55420,63726,1201,1595,267,18924.65,2.17,2.5,4.19,16.92,1592.38
01-07-2025,Campaign 1,Facebook,Explore,35-44,South,Desktop,1499.43,70089,11108,5364,1844,372,31168.43,7.65,16.6,4.03,20.79,1978.69
02-07-2025,Campaign 8,Facebook,Explore,45+,East,Desktop,473.04,17489,69896,1267,1746,137,1133.94,7.24,2.5,3.45,2.4,139.71
03-07-2025,Campaign 16,Instagram,Stories,45+,West,Desktop,169.28,61789,43553,2281,3095,998,35875.29,3.69,7.11,0.17,211.93,21092.87
04-07-2025,Campaign 2,Instagram,Feed,18-24,West,Mobile,354.04,71925,41880,4392,6743,229,22015.2,6.11,16.1,1.55,62.18,6118.28
05-07-2025,Campaign 8,Instagram,Feed,45+,South,Desktop,911.6,51703,53077,3994,9964,314,29888.7,7.72,18.77,2.9,32.79,3178.71
06-07-2025,Campaign 6,Instagram,Reels,45+,East,Desktop,1037.42,89486,4625,2092,7478,577,3500.07,2.34,161.69,1.8,3.37,237.38
07-07-2025,Campaign 16,Instagram,Feed,35-44,North,Desktop,792.73,78625,39237,6517,8949,881,21264.53,8.29,22.81,0.9,26.82,2582.44
08-07-2025,Campaign 11,Facebook,Feed,45+,East,Mobile,907.95,60228,2223,6353,3767,20,1988.16,10.55,169.46,45.4,2.19,118.97
09-07-2025,Campaign 17,Instagram,Reels,45+,South,Desktop,966.96,5051,60303,755,9345,745,38604.69,14.95,15.5,1.3,39.92,3892.38
10-07-2025,Campaign 19,Facebook,Explore,35-44,North,Mobile,1550.4,40090,66197,2719,676,199,11825.03,6.78,1.02,7.79,7.63,662.71
11-07-2025,Campaign 11,Instagram,Feed,18-24,South,Desktop,255.22,30805,75693,7118,4879,767,15961.21,23.11,6.45,0.33,62.54,6153.9
12-07-2025,Campaign 8,Facebook,Explore,18-24,East,Desktop,1549.45,96978,38760,2163,8287,447,40212.96,2.23,21.38,3.47,25.95,2495.31
13-07-2025,Campaign 4,Facebook,Reels,25-34,North,Mobile,1392.82,46557,58966,3027,3072,307,8279.82,6.5,5.21,4.54,5.94,494.46
14-07-2025,Campaign 11,Instagram,Explore,45+,South,Mobile,1496.24,4555,30024,4399,7856,52,1196.86,96.58,26.17,28.77,0.8,-20.01
15-07-2025,Campaign 8,Facebook,Explore,35-44,West,Desktop,1482.21,52241,71323,4428,4048,751,20030.39,8.48,5.68,1.97,13.51,1251.39
16-07-2025,Campaign 9,Facebook,Reels,25-34,North,Mobile,967.65,80303,24202,7277,6644,125,11545.51,9.06,27.45,7.74,11.93,1093.15
17-07-2025,Campaign 2,Instagram,Explore,18-24,North,Mobile,462.23,67994,52524,6311,2145,503,36100.53,9.28,4.08,0.92,78.1,7710.08
18-07-2025,Campaign 16,Instagram,Feed,18-24,South,Desktop,1096.43,18066,44908,472,1727,836,65221.93,2.61,3.85,1.31,59.49,5848.57
19-07-2025,Campaign 6,Instagram,Feed,35-44,West,Desktop,1918.07,6721,37067,6749,1588,566,23103.24,100.42,4.28,3.39,12.05,1104.5
20-07-2025,Campaign 19,Instagram,Feed,25-34,North,Desktop,1197.63,79982,10360,2071,9227,473,43218.87,2.59,89.06,2.53,36.09,3508.7
21-07-2025,Campaign 8,Facebook,Feed,25-34,South,Mobile,71.54,8304,13941,3843,3663,45,3599.72,46.28,26.28,1.59,50.32,4931.76
22-07-2025,Campaign 14,Facebook,Explore,35-44,North,Desktop,166.44,44967,16993,4181,1902,460,35101.1,9.3,11.19,0.36,210.89,20989.34
23-07-2025,Campaign 16,Facebook,Feed,35-44,North,Desktop,1986.08,80763,15620,580,9712,538,52314.76,0.72,62.18,3.69,26.34,2534.07
24-07-2025,Campaign 12,Facebook,Explore,25-34,North,Mobile,190.3,42462,21193,140,3691,375,14920.76,0.33,17.42,0.51,78.41,7740.65
25-07-2025,Campaign 5,Facebook,Stories,18-24,West,Mobile,139.79,73834,52559,3422,3620,186,11725.9,4.63,6.89,0.75,83.88,8288.23
26-07-2025,Campaign 19,Facebook,Explore,45+,East,Desktop,738.4,52155,22248,7941,5996,521,47641.97,15.23,26.95,1.42,64.52,6352.05
27-07-2025,Campaign 18,Instagram,Feed,18-24,East,Mobile,1940.17,77842,46852,6086,7743,661,52968.87,7.82,16.53,2.94,27.3,2630.11
28-07-2025,Campaign 9,Facebook,Stories,35-44,West,Desktop,671.42,4589,6027,1992,7141,873,51088.83,43.41,118.48,0.77,76.09,7509.07
29-07-2025,Campaign 2,Facebook,Reels,25-34,West,Mobile,849.27,39078,64410,3855,3411,594,7270.74,9.86,5.3,1.43,8.56,756.12
30-07-2025,Campaign 20,Facebook,Explore,25-34,South,Desktop,1286.45,56918,5260,1290,2405,235,15747.05,2.27,45.72,5.47,12.24,1124.07
31-07-2025,Campaign 12,Instagram,Feed,45+,North,Mobile,97.02,15601,38596,1808,7975,813,44733.52,11.59,20.66,0.12,461.08,46007.52
01-08-2025,Campaign 2,Instagram,Feed,25-34,West,Mobile,1800.64,9711,10012,147,2067,352,7918.99,1.51,20.65,5.12,4.4,339.79
02-08-2025,Campaign 10,Instagram,Feed,45+,South,Mobile,1062.91,88900,26823,1529,8109,483,42897.18,1.72,30.23,2.2,40.36,3935.82
03-08-2025,Campaign 1,Instagram,Reels,18-24,East,Mobile,960.28,61430,74851,4676,5562,213,8010.64,7.61,7.43,4.51,8.34,734.2
04-08-2025,Campaign 4,Facebook,Stories,18-24,East,Desktop,1728.42,65327,48027,1882,6997,679,28389.39,2.88,14.57,2.55,16.43,1542.51
05-08-2025,Campaign 12,Facebook,Stories,25-34,East,Mobile,1908.5,97146,79167,2635,3558,684,47112.65,2.71,4.49,2.79,24.69,2368.57
06-08-2025,Campaign 9,Facebook,Feed,25-34,East,Desktop,875.68,5970,26099,5197,8685,282,14504.92,87.05,33.28,3.11,16.56,1556.42
07-08-2025,Campaign 4,Instagram,Explore,35-44,South,Mobile,386.26,71535,37992,3697,4878,753,10151.72,5.17,12.84,0.51,26.28,2528.21
08-08-2025,Campaign 9,Facebook,Feed,35-44,North,Mobile,1640.63,88570,11977,5493,3830,692,28930.41,6.2,31.98,2.37,17.63,1663.37
09-08-2025,Campaign 6,Facebook,Feed,25-34,South,Desktop,836.36,38176,57234,7440,4465,57,796.53,19.49,7.8,14.67,0.95,-4.76
10-08-2025,Campaign 1,Facebook,Explore,25-34,North,Mobile,1874.31,43730,48376,129,7647,865,19999.91,0.29,15.81,2.17,10.67,967.05
11-08-2025,Campaign 10,Instagram,Feed,18-24,East,Mobile,1902.3,84168,34978,6756,127,14,79.54,8.03,0.36,135.88,0.04,-95.82
12-08-2025,Campaign 14,Instagram,Reels,25-34,West,Desktop,273.92,15385,10218,5627,3591,662,14712.78,36.57,35.14,0.41,53.71,5271.2
13-08-2025,Campaign 18,Instagram,Feed,35-44,West,Mobile,1915.28,7950,22788,4759,6523,743,27039.63,59.86,28.62,2.58,14.12,1311.78
14-08-2025,Campaign 6,Facebook,Reels,18-24,West,Desktop,768.13,75511,21501,2273,5401,752,42210.32,3.01,25.12,1.02,54.95,5395.21
15-08-2025,Campaign 18,Facebook,Feed,45+,North,Mobile,1310.19,55009,78989,2619,6260,468,43211.06,4.76,7.93,2.8,32.98,3198.08
16-08-2025,Campaign 20,Facebook,Stories,35-44,East,Mobile,117.76,88850,16210,1822,1273,758,42698.94,2.05,7.85,0.16,362.59,36159.29
17-08-2025,Campaign 16,Facebook,Explore,35-44,South,Mobile,1783.32,25398,75225,5626,438,821,59138.55,22.15,0.58,2.17,33.16,3216.21
18-08-2025,Campaign 15,Instagram,Stories,18-24,West,Desktop,1301.11,27277,46489,4568,9360,587,22880.86,16.75,20.13,2.22,17.59,1658.56
19-08-2025,Campaign 16,Facebook,Feed,45+,North,Mobile,1304.93,28761,64721,1173,941,162,12377.6,4.08,1.45,8.06,9.49,848.53
20-08-2025,Campaign 8,Instagram,Feed,35-44,West,Mobile,1809.24,66435,43653,6180,393,23,1470.72,9.3,0.9,78.66,0.81,-18.71
21-08-2025,Campaign 13,Facebook,Reels,25-34,South,Mobile,1041.28,65944,41950,3861,9614,59,2872.15,5.85,22.92,17.65,2.76,175.83
22-08-2025,Campaign 11,Instagram,Feed,35-44,East,Mobile,850.51,33533,9916,3524,6658,960,22471.71,10.51,67.14,0.89,26.42,2542.15
23-08-2025,Campaign 7,Facebook,Feed,18-24,South,Mobile,1738.95,74502,66911,2673,1747,731,24734.4,3.59,2.61,2.38,14.22,1322.38
24-08-2025,Campaign 17,Facebook,Feed,18-24,East,Mobile,1497.72,74123,32449,1453,4998,972,62198.16,1.96,15.4,1.54,41.53,4052.86
25-08-2025,Campaign 18,Instagram,Stories,18-24,East,Mobile,1900.5,24880,21782,2628,4626,725,32969.63,10.56,21.24,2.62,17.35,1634.79
26-08-2025,Campaign 19,Instagram,Reels,35-44,East,Mobile,1883.24,72627,21243,381,5714,25,2237.29,0.52,26.9,75.33,1.19,18.8
27-08-2025,Campaign 13,Facebook,Stories,45+,West,Mobile,795.54,43753,30379,7535,3901,286,7810.61,17.22,12.84,2.78,9.82,881.8
28-08-2025,Campaign 15,Facebook,Reels,25-34,South,Desktop,921.62,98666,38780,4798,8380,765,9135.56,4.86,21.61,1.2,9.91,891.25
29-08-2025,Campaign 1,Facebook,Stories,18-24,West,Mobile,549.17,84597,31740,3658,7476,544,33177.53,4.32,23.55,1.01,60.41,5941.4
30-08-2025,Campaign 16,Instagram,Feed,45+,South,Desktop,1338.26,89829,20984,789,999,939,83735.17,0.88,4.76,1.43,62.57,6157.02
31-08-2025,Campaign 5,Facebook,Stories,25-34,North,Desktop,760.86,3561,1050,5258,3577,421,16692.74,147.66,340.67,1.81,21.94,2093.93
01-09-2025,Campaign 3,Instagram,Stories,18-24,North,Desktop,1582.9,55205,7590,5773,1844,812,54024.45,10.46,24.3,1.95,34.13,3313
02-09-2025,Campaign 10,Facebook,Reels,25-34,South,Mobile,287.02,61810,41205,4656,6196,727,19617.51,7.53,15.04,0.39,68.35,6734.89
03-09-2025,Campaign 19,Facebook,Reels,25-34,South,Desktop,276.99,66482,16162,91,2353,289,16777.85,0.14,14.56,0.96,60.57,5957.2
04-09-2025,Campaign 5,Facebook,Stories,45+,South,Desktop,448.69,71192,50746,5030,1733,536,42743.45,7.07,3.42,0.84,95.26,9426.28
05-09-2025,Campaign 7,Facebook,Reels,25-34,South,Desktop,214.37,89154,14105,3928,7101,536,46829.25,4.41,50.34,0.4,218.45,21745.06
06-09-2025,Campaign 14,Instagram,Reels,18-24,East,Mobile,1259.06,88066,38499,1999,7120,515,7717.95,2.27,18.49,2.44,6.13,512.99
07-09-2025,Campaign 3,Instagram,Reels,45+,West,Desktop,337.34,89408,37641,3510,9153,846,32871.82,3.93,24.32,0.4,97.44,9644.42
08-09-2025,Campaign 13,Facebook,Explore,35-44,East,Mobile,361.93,30330,12628,2178,8249,400,26306.49,7.18,65.32,0.9,72.68,7168.39
09-09-2025,Campaign 13,Facebook,Reels,35-44,West,Desktop,77.75,18139,43032,4547,4801,124,1029.04,25.07,11.16,0.63,13.24,1223.52
10-09-2025,Campaign 10,Facebook,Explore,45+,West,Desktop,1575.08,34977,66029,2204,6835,101,7131.45,6.3,10.35,15.59,4.53,352.77
11-09-2025,Campaign 2,Instagram,Explore,35-44,West,Mobile,1633.98,6983,39516,5280,1113,124,6840.24,75.61,2.82,13.18,4.19,318.62
12-09-2025,Campaign 6,Facebook,Reels,25-34,East,Mobile,365.94,41909,2476,7494,3399,541,17535.86,17.88,137.28,0.68,47.92,4692
13-09-2025,Campaign 8,Instagram,Stories,18-24,South,Desktop,1492.07,66480,41800,1287,1606,157,12935.57,1.94,3.84,9.5,8.67,766.95
14-09-2025,Campaign 4,Instagram,Reels,25-34,East,Desktop,895.41,51029,36788,1816,4903,249,8106.15,3.56,13.33,3.6,9.05,805.3
15-09-2025,Campaign 12,Instagram,Feed,45+,East,Desktop,517.21,23329,27240,1891,1077,776,76967.12,8.11,3.95,0.67,148.81,14781.21
16-09-2025,Campaign 15,Instagram,Stories,18-24,West,Mobile,1261.7,38734,11922,555,1917,520,42928.69,1.43,16.08,2.43,34.02,3302.45
17-09-2025,Campaign 8,Facebook,Explore,45+,North,Mobile,398.04,44837,65198,5290,5001,397,28686.48,11.8,7.67,1,72.07,7106.93
18-09-2025,Campaign 7,Facebook,Explore,45+,North,Desktop,1525.92,76354,59739,7351,9240,147,1591.72,9.63,15.47,10.38,1.04,4.31
19-09-2025,Campaign 14,Instagram,Stories,45+,East,Desktop,142.85,78454,74602,1891,6898,508,46182.02,2.41,9.25,0.28,323.29,32229.03
20-09-2025,Campaign 19,Facebook,Stories,25-34,West,Mobile,1920.31,68786,13089,4865,573,798,63884.09,7.07,4.38,2.41,33.27,3226.76
21-09-2025,Campaign 14,Facebook,Reels,18-24,East,Mobile,190.16,6758,33600,1444,667,851,22770.53,21.37,1.99,0.22,119.74,11874.41
22-09-2025,Campaign 13,Facebook,Explore,18-24,East,Desktop,1179.92,69699,47176,306,8066,862,36431.2,0.44,17.1,1.37,30.88,2987.6
23-09-2025,Campaign 1,Instagram,Feed,18-24,South,Mobile,1809.28,84673,9167,1770,2358,224,6836.48,2.09,25.72,8.08,3.78,277.86
24-09-2025,Campaign 19,Facebook,Reels,25-34,West,Desktop,73.21,99639,79352,5967,8220,843,83051.96,5.99,10.36,0.09,1134.43,113343.46
25-09-2025,Campaign 1,Facebook,Stories,35-44,North,Mobile,1022.1,23832,22164,5099,4410,164,14128.38,21.4,19.9,6.23,13.82,1282.29
26-09-2025,Campaign 4,Facebook,Explore,25-34,North,Desktop,732.51,3868,32415,7397,2082,80,7469.71,191.24,6.42,9.16,10.2,919.74
27-09-2025,Campaign 10,Facebook,Stories,25-34,North,Desktop,1181.65,52665,74653,7126,1196,615,49159.13,13.53,1.6,1.92,41.6,4060.21
28-09-2025,Campaign 3,Facebook,Stories,45+,East,Desktop,489.64,43862,72895,1121,6710,696,33653.75,2.56,9.21,0.7,68.73,6773.16
29-09-2025,Campaign 20,Facebook,Stories,18-24,West,Mobile,176.55,21728,76829,1672,3670,643,15763.95,7.7,4.78,0.27,89.29,8828.89
30-09-2025,Campaign 9,Facebook,Reels,18-24,South,Desktop,1270.57,95565,59650,5042,6597,36,891.63,5.28,11.06,35.29,0.7,-29.82
01-10-2025,Campaign 3,Facebook,Feed,35-44,North,Desktop,862.86,41857,59981,2116,3746,781,15159.11,5.06,6.25,1.1,17.57,1656.84
02-10-2025,Campaign 6,Facebook,Feed,35-44,West,Mobile,1263.85,30183,75868,1119,2519,338,19242.92,3.71,3.32,3.74,15.23,1422.56
03-10-2025,Campaign 6,Facebook,Explore,45+,North,Desktop,460.55,90321,1615,500,4379,529,48877.92,0.55,271.15,0.87,106.13,10512.95
04-10-2025,Campaign 12,Instagram,Stories,18-24,South,Desktop,710.55,20940,46612,947,773,444,44054.04,4.52,1.66,1.6,62,6099.99
05-10-2025,Campaign 1,Facebook,Feed,35-44,West,Desktop,1145.28,7280,78937,5225,2902,896,28934.96,71.77,3.68,1.28,25.26,2426.45
06-10-2025,Campaign 16,Instagram,Stories,35-44,East,Mobile,1206.57,4164,42936,4886,7412,944,67255.17,117.34,17.26,1.28,55.74,5474.08
07-10-2025,Campaign 5,Facebook,Explore,18-24,East,Mobile,776.01,94724,30372,3778,2469,997,61539.14,3.99,8.13,0.78,79.3,7830.2
08-10-2025,Campaign 9,Instagram,Stories,25-34,North,Mobile,596.1,81624,68875,7309,4630,356,18315.82,8.95,6.72,1.67,30.73,2972.61
09-10-2025,Campaign 10,Instagram,Feed,35-44,North,Mobile,583.72,20405,62700,131,1166,343,23409.07,0.64,1.86,1.7,40.1,3910.33
10-10-2025,Campaign 13,Facebook,Stories,18-24,West,Desktop,390.66,4821,9109,786,5532,930,37459.92,16.3,60.73,0.42,95.89,9488.88
11-10-2025,Campaign 15,Instagram,Feed,35-44,South,Mobile,684.54,57090,24758,4224,8173,404,38269.33,7.4,33.01,1.69,55.91,5490.52
12-10-2025,Campaign 12,Instagram,Explore,45+,North,Mobile,438.91,24516,14317,5831,787,400,28807.06,23.78,5.5,1.1,65.63,6463.32
13-10-2025,Campaign 5,Instagram,Stories,35-44,West,Mobile,1285.94,12473,70001,3994,168,206,15789.72,32.02,0.24,6.24,12.28,1127.87
14-10-2025,Campaign 5,Facebook,Feed,18-24,South,Desktop,1159.68,48454,52423,6476,6874,966,27077.08,13.37,13.11,1.2,23.35,2234.88
15-10-2025,Campaign 18,Instagram,Explore,35-44,North,Desktop,796.05,44530,26622,5480,519,534,11222.17,12.31,1.95,1.49,14.1,1309.73
16-10-2025,Campaign 12,Instagram,Stories,45+,North,Desktop,685.37,79714,7800,5142,6991,913,38768.15,6.45,89.63,0.75,56.57,5556.53
17-10-2025,Campaign 3,Facebook,Explore,45+,West,Mobile,513.35,94554,36539,2257,5693,97,7549.89,2.39,15.58,5.29,14.71,1370.71
18-10-2025,Campaign 7,Instagram,Feed,35-44,North,Desktop,1094.14,84633,3600,5485,6204,796,74971.75,6.48,172.33,1.37,68.52,6752.12
19-10-2025,Campaign 17,Instagram,Stories,35-44,East,Desktop,1841.86,81632,72054,3998,3992,362,16505.87,4.9,5.54,5.09,8.96,796.15
20-10-2025,Campaign 19,Instagram,Stories,45+,South,Mobile,1387.12,71081,30369,2052,539,400,31417.96,2.89,1.77,3.47,22.65,2164.98
21-10-2025,Campaign 18,Facebook,Stories,45+,South,Desktop,1501.61,26798,17689,1741,9578,832,41341.02,6.5,54.15,1.8,27.53,2653.11
22-10-2025,Campaign 1,Instagram,Explore,25-34,East,Mobile,1677.04,2863,39469,1229,1308,64,2114.99,42.93,3.31,26.2,1.26,26.11
23-10-2025,Campaign 5,Facebook,Explore,25-34,West,Mobile,735.69,18148,1958,2985,9370,481,36185.72,16.45,478.55,1.53,49.19,4818.61
24-10-2025,Campaign 2,Instagram,Feed,45+,East,Desktop,172.61,88545,61012,5883,2663,730,59005.32,6.64,4.36,0.24,341.84,34084.18
25-10-2025,Campaign 1,Instagram,Reels,35-44,East,Mobile,1263.99,56459,70074,2565,7566,616,14950.24,4.54,10.8,2.05,11.83,1082.78
26-10-2025,Campaign 7,Instagram,Stories,18-24,South,Mobile,417.91,85345,61021,4998,1353,5,169.96,5.86,2.22,83.58,0.41,-59.33
27-10-2025,Campaign 11,Instagram,Stories,35-44,West,Mobile,1159.64,86224,51782,511,3309,559,29070.12,0.59,6.39,2.07,25.07,2406.82
28-10-2025,Campaign 11,Facebook,Feed,35-44,North,Mobile,1492.04,68189,76519,2951,3649,315,7156.67,4.33,4.77,4.74,4.8,379.66
29-10-2025,Campaign 18,Instagram,Stories,25-34,East,Mobile,1578.09,10129,60315,166,714,172,16037.15,1.64,1.18,9.17,10.16,916.24
30-10-2025,Campaign 17,Facebook,Explore,25-34,East,Mobile,638.59,93954,25642,5835,3178,196,11990.64,6.21,12.39,3.26,18.78,1777.67
31-10-2025,Campaign 2,Instagram,Explore,25-34,West,Desktop,1049.24,25118,1205,6557,3590,38,627.54,26.1,297.93,27.61,0.6,-40.19
01-11-2025,Campaign 7,Facebook,Stories,45+,East,Mobile,1260.88,2443,13442,1704,3643,38,854.35,69.75,27.1,33.18,0.68,-32.24
02-11-2025,Campaign 7,Instagram,Stories,45+,West,Mobile,1647.99,29041,6691,5880,8202,692,66199.32,20.25,122.58,2.38,40.17,3916.97
03-11-2025,Campaign 10,Instagram,Explore,35-44,North,Mobile,1534.71,91379,39909,6082,2000,421,31628.05,6.66,5.01,3.65,20.61,1960.85
04-11-2025,Campaign 3,Facebook,Stories,35-44,West,Mobile,1976.55,23053,20504,4611,5780,712,53235.16,20,28.19,2.78,26.93,2593.34
05-11-2025,Campaign 12,Facebook,Explore,18-24,North,Desktop,65.77,98384,65270,1848,6851,162,1925.75,1.88,10.5,0.41,29.28,2828.01
06-11-2025,Campaign 3,Facebook,Reels,35-44,West,Desktop,903.1,39204,59051,6377,5962,761,68530.63,16.27,10.1,1.19,75.88,7488.38
07-11-2025,Campaign 11,Facebook,Reels,35-44,East,Mobile,549.29,44240,39798,709,1812,504,23766.05,1.6,4.55,1.09,43.27,4226.69
08-11-2025,Campaign 12,Instagram,Stories,25-34,North,Desktop,283.79,95749,50330,3287,2429,370,25039.06,3.43,4.83,0.77,88.23,8723.09
09-11-2025,Campaign 4,Facebook,Stories,25-34,East,Mobile,1827.45,63102,79919,2172,1294,344,33082.64,3.44,1.62,5.31,18.1,1710.32
10-11-2025,Campaign 16,Facebook,Stories,25-34,North,Mobile,1996.03,10291,42716,3869,6881,862,12500.01,37.6,16.11,2.32,6.26,526.24
11-11-2025,Campaign 20,Facebook,Explore,25-34,West,Mobile,402.16,18285,75624,7019,8262,339,17226.71,38.39,10.93,1.19,42.84,4183.55
12-11-2025,Campaign 18,Instagram,Reels,25-34,West,Mobile,124.95,94422,47982,3393,5006,587,5701.65,3.59,10.43,0.21,45.63,4463.15
13-11-2025,Campaign 4,Instagram,Reels,18-24,West,Desktop,586.36,63589,28444,5860,1478,331,17363.21,9.22,5.2,1.77,29.61,2861.19
14-11-2025,Campaign 6,Instagram,Feed,18-24,South,Desktop,1677.98,15944,25734,2600,9604,118,3417.83,16.31,37.32,14.22,2.04,103.69
15-11-2025,Campaign 15,Instagram,Feed,18-24,South,Mobile,623.09,90876,42745,4940,849,801,73332.53,5.44,1.99,0.78,117.69,11669.17
16-11-2025,Campaign 1,Facebook,Stories,25-34,North,Mobile,160.96,97561,35571,1636,5392,923,39556.81,1.68,15.16,0.17,245.76,24475.55
17-11-2025,Campaign 3,Instagram,Explore,45+,South,Desktop,152.36,56391,16389,4732,400,422,27521.95,8.39,2.44,0.36,180.64,17963.76
18-11-2025,Campaign 5,Facebook,Stories,25-34,West,Desktop,883.47,3607,46038,6849,4795,472,40935.28,189.88,10.42,1.87,46.33,4533.47
19-11-2025,Campaign 17,Instagram,Reels,25-34,South,Mobile,1867.06,4953,73795,7560,4724,147,14472.26,152.63,6.4,12.7,7.75,675.14
20-11-2025,Campaign 14,Facebook,Stories,18-24,South,Desktop,607.54,46941,46168,2797,3937,613,32404.92,5.96,8.53,0.99,53.34,5233.79
21-11-2025,Campaign 9,Facebook,Stories,25-34,East,Mobile,882.96,73469,79082,684,377,313,15116.96,0.93,0.48,2.82,17.12,1612.08
22-11-2025,Campaign 3,Facebook,Reels,18-24,North,Desktop,248.77,78922,68690,7037,4017,405,4939.08,8.92,5.85,0.61,19.85,1885.4
23-11-2025,Campaign 13,Facebook,Reels,25-34,North,Desktop,1012.47,63683,75302,5420,7407,324,2012.1,8.51,9.84,3.12,1.99,98.73
24-11-2025,Campaign 3,Facebook,Reels,35-44,North,Desktop,1408.27,72218,12230,2932,2261,216,13572.62,4.06,18.49,6.52,9.64,863.78
25-11-2025,Campaign 11,Instagram,Reels,45+,South,Desktop,578.74,13154,6902,5299,1489,321,3601.34,40.28,21.57,1.8,6.22,522.27
26-11-2025,Campaign 2,Facebook,Feed,45+,West,Mobile,628.59,11047,67758,2861,8982,189,7774.7,25.9,13.26,3.33,12.37,1136.85
27-11-2025,Campaign 15,Facebook,Explore,18-24,East,Mobile,1691.85,90529,28050,4503,4832,209,1116.61,4.97,17.23,8.09,0.66,-34
28-11-2025,Campaign 13,Facebook,Explore,35-44,North,Desktop,70.21,77874,75586,4065,3568,368,23348.35,5.22,4.72,0.19,332.55,33155.02
29-11-2025,Campaign 19,Facebook,Reels,45+,South,Mobile,1291.12,16323,70110,2789,6241,220,9991.18,17.09,8.9,5.87,7.74,673.84
30-11-2025,Campaign 16,Instagram,Explore,18-24,West,Desktop,818.08,39693,77693,5577,6069,250,4266.74,14.05,7.81,3.27,5.22,421.56
01-12-2025,Campaign 18,Instagram,Explore,25-34,East,Desktop,631.84,60730,20575,1934,3916,243,8056.65,3.18,19.03,2.6,12.75,1175.11
02-12-2025,Campaign 7,Facebook,Explore,25-34,East,Mobile,1332.31,91170,59940,1568,9231,809,47826.27,1.72,15.4,1.65,35.9,3489.73
03-12-2025,Campaign 13,Facebook,Explore,35-44,North,Mobile,1677.6,28292,41244,671,5137,395,26618.17,2.37,12.46,4.25,15.87,1486.68
04-12-2025,Campaign 4,Facebook,Reels,45+,North,Mobile,1138.86,47111,15962,4627,6094,524,25635.08,9.82,38.18,2.17,22.51,2150.94
05-12-2025,Campaign 9,Facebook,Stories,25-34,West,Desktop,110.63,77453,78332,5125,2551,987,80318.23,6.62,3.26,0.11,726.01,72500.77
06-12-2025,Campaign 10,Instagram,Stories,18-24,South,Mobile,949.73,77681,25450,6019,124,594,9315.01,7.75,0.49,1.6,9.81,880.81
07-12-2025,Campaign 9,Instagram,Stories,25-34,West,Mobile,952.38,97253,54494,7295,6062,840,10946.75,7.5,11.12,1.13,11.49,1049.41
08-12-2025,Campaign 7,Facebook,Feed,25-34,North,Mobile,1110.41,41491,46037,5123,2656,281,2586.1,12.35,5.77,3.95,2.33,132.9
09-12-2025,Campaign 15,Facebook,Explore,45+,West,Mobile,1358.37,51336,31041,1587,7732,961,53723.4,3.09,24.91,1.41,39.55,3854.99
10-12-2025,Campaign 8,Facebook,Reels,45+,South,Desktop,87.67,18905,11715,7538,160,206,14850.95,39.87,1.37,0.43,169.4,16839.6
11-12-2025,Campaign 19,Facebook,Reels,18-24,East,Desktop,1028.92,32273,22803,2387,7775,218,3793.1,7.4,34.1,4.72,3.69,268.65
12-12-2025,Campaign 11,Facebook,Feed,35-44,East,Desktop,1197.2,28234,69906,5466,222,610,40076.9,19.36,0.32,1.96,33.48,3247.55
13-12-2025,Campaign 5,Instagram,Reels,35-44,East,Desktop,719.54,80885,62726,5850,5716,482,24249.44,7.23,9.11,1.49,33.7,3270.13
14-12-2025,Campaign 2,Instagram,Stories,25-34,East,Desktop,1353.31,68538,2908,6945,1286,512,50584.44,10.13,44.22,2.64,37.38,3637.83
15-12-2025,Campaign 10,Facebook,Feed,18-24,North,Desktop,494.95,34573,38075,2044,5258,980,71696.79,5.91,13.81,0.51,144.86,14385.66
16-12-2025,Campaign 16,Instagram,Reels,35-44,North,Desktop,668.88,95339,65587,7692,7964,79,5329.34,8.07,12.14,8.47,7.97,696.76
17-12-2025,Campaign 13,Instagram,Feed,35-44,South,Mobile,1927.37,66320,54648,2120,4189,986,58364.03,3.2,7.67,1.95,30.28,2928.17
18-12-2025,Campaign 8,Instagram,Feed,25-34,South,Desktop,728.74,13330,22134,4951,2572,673,67131.61,37.14,11.62,1.08,92.12,9112.01
19-12-2025,Campaign 9,Facebook,Reels,18-24,South,Desktop,725.68,94040,57143,6365,7550,669,65658.08,6.77,13.21,1.08,90.48,8947.8
20-12-2025,Campaign 11,Instagram,Stories,35-44,South,Desktop,1211.58,82516,70123,4980,3064,958,53763.86,6.04,4.37,1.26,44.37,4337.5
21-12-2025,Campaign 11,Instagram,Reels,45+,West,Desktop,1943.4,74553,46153,2415,8204,146,7043.39,3.24,17.78,13.31,3.62,262.43
